technique_type,transitive_trace_type,direct_algebraic_model,transitive_algebraic_model,transitive_scaling,transitive_aggregation,technique_aggregation,ap,auc,lag,name
DIRECT,direct,LSI,NA,NA,NA,NA,0.7033612060577739,0.6848031269877096,188.48773006134968,(. (LSI NT) (0 2))
DIRECT,direct,VSM,NA,NA,NA,NA,0.7088872379186215,0.7009048566797299,178.40797546012269,(. (VSM NT) (0 2))
TRANSITIVE,lower,NA,LSI,INDEPENDENT,MAX,NA,0.9146149983226088,0.91619816566469,50.11349693251534,(x (MAX INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))
TRANSITIVE,lower,NA,LSI,GLOBAL,PCA,NA,0.8219250643829301,0.8610680796930463,83.08128834355828,(x (PCA GLOBAL) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))
TRANSITIVE,lower,NA,LSI,GLOBAL,SUM,NA,0.8953358953048527,0.9208096518045837,47.355828220858896,(x (SUM GLOBAL) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))
TRANSITIVE,lower,NA,LSI,GLOBAL,MAX,NA,0.9146149983226088,0.9161981656646901,50.11349693251534,(x (MAX GLOBAL) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))
TRANSITIVE,lower,NA,VSM,INDEPENDENT,PCA,NA,0.8529299382956981,0.8764439748035373,73.88650306748467,(x (PCA INDEPENDENT) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))
TRANSITIVE,lower,NA,VSM,INDEPENDENT,SUM,NA,0.919471339445425,0.9331334509715411,39.986196319018404,(x (SUM INDEPENDENT) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))
TRANSITIVE,lower,NA,VSM,INDEPENDENT,MAX,NA,0.9318569272923809,0.9309867246650388,41.26993865030675,(x (MAX INDEPENDENT) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))
TRANSITIVE,lower,NA,VSM,GLOBAL,PCA,NA,0.8529299382956981,0.8764439748035373,73.88650306748467,(x (PCA GLOBAL) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))
TRANSITIVE,lower,NA,VSM,GLOBAL,SUM,NA,0.919471339445425,0.9331334509715411,39.986196319018404,(x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))
TRANSITIVE,lower,NA,VSM,GLOBAL,MAX,NA,0.9318569272923809,0.9309867246650388,41.26993865030675,(x (MAX GLOBAL) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))
TRANSITIVE,all,NA,LSI,INDEPENDENT,PCA,NA,1.0,1.0,0.0,(x (PCA INDEPENDENT) ((. (LSI T) (0 1)) (. (LSI T) (1 2))))
TRANSITIVE,all,NA,LSI,INDEPENDENT,SUM,NA,1.0,1.0,0.0,(x (SUM INDEPENDENT) ((. (LSI T) (0 1)) (. (LSI T) (1 2))))
