technique_type,query_index,ap,auc,lag,query_id
DIRECT,0,0.24567746798831147,0.5225164690382083,164.94545454545454,0
DIRECT,29,0.3410207744599363,0.6244795783926219,142.48181818181817,54
DIRECT,28,0.40108390137602534,0.6779446640316206,109.6,53
DIRECT,27,0.4104362012458784,0.6552832674571806,127.08181818181818,52
DIRECT,26,0.2,0.9911894273127753,4.0,51
DIRECT,25,0.38355640043615963,0.6473386034255599,121.11818181818182,50
DIRECT,24,0.3505558620740291,0.613596837944664,131.62727272727273,49
DIRECT,23,0.39810779912098077,0.6502371541501977,120.69090909090909,48
DIRECT,21,0.3366424912532501,0.5820553359683794,143.92727272727274,44
DIRECT,20,0.3627684233747128,0.6126218708827404,132.3272727272727,41
DIRECT,19,0.33742226419498406,0.5917786561264822,146.24545454545455,39
DIRECT,18,0.3551220501504475,0.5885375494071147,141.6090909090909,37
DIRECT,17,0.4895583468623147,0.9298642533936652,31.0,35
DIRECT,16,0.2639994575836147,0.5306719367588932,174.02727272727273,29
DIRECT,15,0.2813609708913124,0.5658234519104085,158.3272727272727,28
DIRECT,22,0.39030246727777773,0.6120421607378128,134.03636363636363,45
DIRECT,13,0.0055248618784530384,0.6035242290748899,180.0,26
DIRECT,14,0.3588998375125186,0.6505401844532279,130.76363636363635,27
DIRECT,1,0.25128092248673867,0.5487220026350461,155.73636363636365,2
DIRECT,2,0.3483751232917617,0.5883267457180501,141.85454545454544,3
DIRECT,3,0.36907158660364103,0.6334914361001316,128.5090909090909,4
DIRECT,4,0.3544243585905201,0.5877997364953886,153.42727272727274,6
DIRECT,6,0.38694494459074724,0.609802371541502,138.1090909090909,8
DIRECT,5,0.39850888902590254,0.598129117259552,138.73636363636365,7
DIRECT,8,0.3919094999979531,0.6118577075098814,132.83636363636364,10
DIRECT,9,0.2876231103287201,0.5688142292490118,159.45454545454547,15
DIRECT,10,0.4051342956930387,0.6070355731225296,142.48181818181817,16
DIRECT,11,0.3995366580049112,0.6689591567852436,115.05454545454545,23
DIRECT,12,0.3493468385463576,0.6029117259552041,140.28181818181818,24
DIRECT,7,0.37417534458558976,0.6144137022397892,133.06363636363636,9
TRANSITIVE,17,0.06581797447499449,0.7203271841280892,123.61538461538461,35
TRANSITIVE,21,0.4931048490512686,0.7360737812911726,91.05454545454545,44
TRANSITIVE,18,0.43861681034267774,0.7095652173913044,100.2,37
TRANSITIVE,19,0.42662449857139834,0.702608695652174,102.6,39
TRANSITIVE,20,0.4463942130713861,0.7163899868247694,97.84545454545454,41
TRANSITIVE,22,0.46545722163734715,0.728695652173913,93.6,45
TRANSITIVE,29,0.44506748689240255,0.7331225296442689,92.07272727272728,54
TRANSITIVE,24,0.5091339853489395,0.7422134387351779,88.93636363636364,49
TRANSITIVE,25,0.5118003463559859,0.7407114624505929,89.45454545454545,50
TRANSITIVE,26,0.1,0.9801762114537445,9.0,51
TRANSITIVE,27,0.46455775079093087,0.7374967061923583,90.56363636363636,52
TRANSITIVE,28,0.5194783977969644,0.7703293807641635,79.23636363636363,53
TRANSITIVE,16,0.48765103777003116,0.7376811594202899,90.5,29
TRANSITIVE,23,0.5274389066369873,0.7429512516469038,88.68181818181819,48
TRANSITIVE,15,0.4805158920235376,0.7389459815546772,90.06363636363636,28
TRANSITIVE,14,0.4648857510567799,0.724137022397892,95.17272727272727,27
TRANSITIVE,13,0.003389830508474576,0.35242290748898675,294.0,26
TRANSITIVE,1,0.4500366337716692,0.730909090909091,92.83636363636364,2
TRANSITIVE,2,0.44167263409691904,0.7072990777338604,100.98181818181818,3
TRANSITIVE,3,0.45734382556848685,0.7414756258234521,89.19090909090909,4
TRANSITIVE,4,0.49686201646196737,0.7303820816864296,93.01818181818182,6
TRANSITIVE,5,0.45743465658283844,0.713227931488801,98.93636363636364,7
TRANSITIVE,6,0.44684566478908894,0.7133596837944665,98.89090909090909,8
TRANSITIVE,0,0.42761957564077135,0.7209222661396575,96.28181818181818,0
TRANSITIVE,8,0.4399718856664325,0.7038998682476945,102.15454545454546,10
TRANSITIVE,9,0.43787811086033396,0.7122002635046113,99.2909090909091,15
TRANSITIVE,10,0.4606557750808435,0.7231357048748353,95.51818181818182,16
TRANSITIVE,11,0.49369696494673915,0.7401317523056654,89.65454545454546,23
TRANSITIVE,12,0.4276674570763206,0.706429512516469,101.28181818181818,24
TRANSITIVE,7,0.4388717466192839,0.7078787878787879,100.78181818181818,9
HYBRID,16,0.37948174028687887,0.7065085638998683,101.25454545454545,29
HYBRID,17,0.35326703277461835,0.8712147580925862,56.92307692307692,35
HYBRID,18,0.43861681034267774,0.7095652173913044,100.2,37
HYBRID,19,0.42640486356147184,0.7025296442687747,102.62727272727273,39
HYBRID,20,0.4463942130713861,0.7163899868247694,97.84545454545454,41
HYBRID,21,0.4911401815209819,0.7373386034255599,90.61818181818182,44
HYBRID,24,0.48726795898719727,0.7409749670619235,89.36363636363636,49
HYBRID,23,0.5079448730789018,0.7392621870882741,89.95454545454545,48
HYBRID,25,0.48961306358832496,0.7344137022397892,91.62727272727273,50
HYBRID,26,0.2,0.9911894273127754,4.0,51
HYBRID,27,0.46238031142492647,0.7367852437417656,90.80909090909091,52
HYBRID,15,0.41431246642189945,0.7232411067193677,95.48181818181818,28
HYBRID,22,0.46545722163734715,0.728695652173913,93.6,45
HYBRID,14,0.4639321568170466,0.7240579710144928,95.2,27
HYBRID,7,0.4388717466192839,0.7078787878787879,100.78181818181818,9
HYBRID,12,0.43042694967788214,0.7065876152832675,101.22727272727273,24
HYBRID,11,0.4892330087200751,0.7379710144927537,90.4,23
HYBRID,10,0.46417749707507994,0.7242424242424242,95.13636363636364,16
HYBRID,9,0.4106586677145194,0.6995256916996049,103.66363636363636,15
HYBRID,8,0.4399718856664325,0.7038998682476945,102.15454545454546,10
HYBRID,28,0.5189698555063257,0.7700395256916996,79.33636363636364,53
HYBRID,6,0.447130345237421,0.7135704874835309,98.81818181818181,8
HYBRID,5,0.45759142669421504,0.7127536231884058,99.1,7
HYBRID,4,0.4965660142596069,0.7276943346508564,93.94545454545455,6
HYBRID,3,0.44085392451815325,0.7266403162055335,94.30909090909091,4
HYBRID,2,0.4407782693397243,0.7068774703557312,101.12727272727273,3
HYBRID,1,0.4390801107900776,0.7265349143610014,94.34545454545454,2
HYBRID,0,0.4118046527672485,0.718471673254282,97.12727272727273,0
HYBRID,13,0.0032679738562091504,0.32819383259911894,305.0,26
HYBRID,29,0.44506748689240255,0.7331225296442689,92.07272727272728,54
