technique_type,query_index,ap,auc,lag,query_id
DIRECT,0,0.5709167615540024,0.6176470588235294,11.470588235294118,0
DIRECT,29,0.5204162746202271,0.5549019607843138,13.352941176470589,29
DIRECT,28,0.6754819498160212,0.696078431372549,9.117647058823529,28
DIRECT,27,0.6724226151067316,0.707843137254902,8.764705882352942,27
DIRECT,26,0.52351117276604,0.6392156862745098,10.823529411764707,26
DIRECT,25,0.6637582306839479,0.6862745098039216,9.411764705882353,25
DIRECT,24,0.8069094304388421,0.9243243243243243,2.8,24
DIRECT,23,0.49762246574043645,0.5450980392156863,13.647058823529411,23
DIRECT,21,0.5941487768454442,0.6843137254901961,9.470588235294118,21
DIRECT,20,0.7486343262001155,0.9270270270270271,2.7,20
DIRECT,19,0.6745049671389134,0.6686274509803922,9.941176470588236,19
DIRECT,18,0.8039682539682538,0.8785714285714286,4.857142857142857,18
DIRECT,17,0.8246460746460746,0.8821428571428571,4.714285714285714,17
DIRECT,16,0.8629251700680272,0.9464285714285714,2.142857142857143,16
DIRECT,15,1.0,1.0,0.0,15
DIRECT,22,0.7258449565274426,0.7862745098039214,6.411764705882353,22
DIRECT,13,0.6609596286066874,0.8642857142857143,5.428571428571429,13
DIRECT,14,0.8398268398268398,0.9535714285714285,1.8571428571428572,14
DIRECT,1,0.6807048522985384,0.7274509803921568,8.176470588235293,1
DIRECT,2,0.6889925417456007,0.7745098039215687,6.764705882352941,2
DIRECT,3,0.5508969534050179,0.7810810810810811,8.1,3
DIRECT,4,0.6986291849721957,0.7568627450980392,7.294117647058823,4
DIRECT,6,0.5941697523988045,0.7135135135135136,10.6,6
DIRECT,5,0.5634341316228554,0.6235294117647059,11.294117647058824,5
DIRECT,8,0.845446127946128,0.9108108108108108,3.3,8
DIRECT,9,0.7016421568627451,0.8324324324324324,6.2,9
DIRECT,10,0.9317307692307693,0.972972972972973,1.0,10
DIRECT,11,0.9406417112299464,0.9756756756756756,0.9,11
DIRECT,12,0.7483333333333333,0.8821428571428571,4.714285714285714,12
DIRECT,7,0.5409755239183257,0.6702702702702703,12.2,7
TRANSITIVE,17,0.8962585034013604,0.975,1.0,17
TRANSITIVE,21,0.4774311555587051,0.5686274509803921,12.941176470588236,21
