technique_type,query_index,ap,auc,lag,query_id
DIRECT,0,0.7030440348182283,0.6162988115449916,6.290322580645161,3
DIRECT,20,0.7918849017879692,0.7546689303904924,4.774193548387097,25
DIRECT,21,0.8282897868371167,0.7665534804753821,4.548387096774194,26
DIRECT,22,0.7682628120865753,0.7190152801358235,5.548387096774194,27
DIRECT,23,0.8244405925575838,0.7453310696095076,5.225806451612903,28
DIRECT,24,0.8459467340020556,0.7691001697792869,5.096774193548387,29
DIRECT,25,0.8178694204071647,0.7436332767402376,4.774193548387097,30
DIRECT,27,0.8413077901481492,0.765704584040747,4.967741935483871,32
DIRECT,28,0.7231888587868217,0.6825127334465195,5.935483870967742,33
DIRECT,29,0.5704323179862479,0.4711375212224108,9.741935483870968,34
DIRECT,30,0.7222303124023338,0.6561969439728353,6.580645161290323,35
DIRECT,31,0.8656236321826123,0.7894736842105263,4.225806451612903,36
DIRECT,32,0.7466412262947202,0.7173174872665534,5.774193548387097,37
DIRECT,33,0.7639778334072932,0.6977928692699491,6.193548387096774,38
DIRECT,34,0.7815560232829419,0.6808149405772496,6.645161290322581,39
DIRECT,35,0.7876698335876959,0.7198641765704584,5.580645161290323,40
DIRECT,19,0.7918819294615175,0.7512733446519526,4.838709677419355,24
DIRECT,18,0.7324246139982598,0.737691001697793,5.161290322580645,23
DIRECT,26,0.8291848470214529,0.7572156196943972,5.032258064516129,31
DIRECT,16,0.7904753498767622,0.7241086587436334,5.290322580645161,21
DIRECT,17,0.7298793946448909,0.7342954159592531,5.225806451612903,22
DIRECT,1,0.7303225806451613,0.6451612903225806,6.161290322580645,4
DIRECT,2,0.6161290322580645,0.4380305602716468,9.741935483870968,6
DIRECT,3,0.654516129032258,0.5382003395585738,6.838709677419355,7
DIRECT,4,0.7883204767497187,0.7546689303904924,4.32258064516129,9
DIRECT,6,0.8408001129838067,0.7691001697792867,4.580645161290323,11
DIRECT,7,0.656774193548387,0.5483870967741935,6.419354838709677,12
DIRECT,8,0.8319234976368528,0.7495755517826825,5.387096774193548,13
DIRECT,5,0.747224195185904,0.6451612903225806,7.0,10
DIRECT,10,0.5,0.9795918367346939,1.0,15
DIRECT,11,0.7881513869943995,0.66723259762309,6.161290322580645,16
DIRECT,12,0.675213878959395,0.6103565365025467,7.419354838709677,17
DIRECT,13,0.7172605829746898,0.5814940577249575,7.774193548387097,18
DIRECT,14,0.7939950905763176,0.7487266553480476,4.741935483870968,19
DIRECT,15,0.7573454395799082,0.7266553480475382,5.451612903225806,20
DIRECT,9,0.8123709630071794,0.734295415959253,5.451612903225806,14
TRANSITIVE,20,0.8493976669745666,0.7877758913412565,4.032258064516129,25
TRANSITIVE,26,0.9094262057127028,0.8556876061120543,2.7419354838709675,31
TRANSITIVE,21,0.8450297907038073,0.7843803056027164,4.096774193548387,26
TRANSITIVE,22,0.8730966408581728,0.8098471986417657,3.6129032258064515,27
TRANSITIVE,23,0.8955887101845214,0.8455008488964346,2.935483870967742,28
TRANSITIVE,24,0.907742405641806,0.8556876061120543,2.7419354838709675,29
TRANSITIVE,25,0.897499885359349,0.8522920203735145,2.806451612903226,30
TRANSITIVE,27,0.8890295207384455,0.8404074702886248,3.032258064516129,32
TRANSITIVE,35,0.8950887475750918,0.8285229202037351,3.2580645161290325,40
TRANSITIVE,29,0.8651160039004332,0.8047538200339559,3.7096774193548385,34
TRANSITIVE,30,0.880751996179914,0.8251273344651953,3.3225806451612905,35
TRANSITIVE,31,0.897350091965192,0.8522920203735145,2.806451612903226,36
TRANSITIVE,32,0.8874325300362917,0.8285229202037351,3.2580645161290325,37
TRANSITIVE,33,0.8737593952336611,0.8183361629881155,3.4516129032258065,38
TRANSITIVE,34,0.8817615055309507,0.8183361629881155,3.4516129032258065,39
TRANSITIVE,19,0.8463340867661681,0.7877758913412564,4.032258064516129,24
TRANSITIVE,28,0.8511845528541607,0.7945670628183361,3.903225806451613,33
TRANSITIVE,18,0.800621965196259,0.7589134125636673,4.580645161290323,23
TRANSITIVE,17,0.8079475650691337,0.7623089983022072,4.516129032258065,22
TRANSITIVE,16,0.8448060454456413,0.7775891341256367,4.225806451612903,21
TRANSITIVE,1,0.9154809971577376,0.8573853989813243,2.7096774193548385,4
TRANSITIVE,2,0.8598418206029663,0.7809847198641765,4.161290322580645,6
TRANSITIVE,3,0.775840243652075,0.6876061120543294,5.935483870967742,7
TRANSITIVE,4,0.9022839402356466,0.8387096774193549,3.064516129032258,9
TRANSITIVE,5,0.8915070795454589,0.831918505942275,3.193548387096774,10
TRANSITIVE,6,0.9041548351899091,0.8421052631578948,3.0,11
TRANSITIVE,7,0.9079650138334023,0.8455008488964347,2.935483870967742,12
TRANSITIVE,0,0.9131536196220399,0.8539898132427844,2.774193548387097,3
TRANSITIVE,9,0.8931423545541195,0.8404074702886248,3.032258064516129,14
TRANSITIVE,10,0.08333333333333333,0.7755102040816326,11.0,15
TRANSITIVE,11,0.9062598107390709,0.8505942275042445,2.838709677419355,16
TRANSITIVE,12,0.8386591425905349,0.7996604414261461,3.806451612903226,17
TRANSITIVE,13,0.8482049917421977,0.7860780984719864,4.064516129032258,18
TRANSITIVE,14,0.8907638310134949,0.8132427843803055,3.5483870967741935,19
TRANSITIVE,15,0.8708780361981248,0.8081494057724958,3.6451612903225805,20
